Sample ID,Day Post Infection,Log PD,PD,RBC,Temp,Weight,Mouse Categorical,Mouse,Status Number,Status,P2rx1,P2rx1.1,Lcn2,Glrx5,Ranbp10,S100a9,Fcrla,Fcrla.1,Fcrla.2,Fcrla.3,Stfa1,Epb4.1,Adipor1,Nkg7,Ngp,Flot2,Flot2.1,Abcb4,Chchd10,Chi3l1,Ank1,Ank1.1,Lck,Mllt3,Mllt3.1,Mllt3.2,Ccl5,Hp,Hp.1,Hp.2,Ctse,Hebp1,Fbxo9,Fbxo9.1,Hdc,Syvn1,Cmtm6,Prkacb,Faim3,Bnip3l,F2rl2,Trim10,Trim10.1,Trim10.2,Ltf,Lat,Chi3l3,Chi3l3.1,Mllt3.3,Hbq1,Rhag,Ltb4r1,Slpi,Rnf10,S100a8,Sell,Hcst,Fech,Fech.1,Fech.2,Id2,Id2.1,Slc25a37,Trak2,Trak2.1,Trak2.2,Ssbp3,Ssbp3.1,Ssbp3.2,Mrgpra2,Mta3,Mta3.1,Thy1,Selplg,Slc25a39,Saa3,Cd79b,Cd79b.1,Cd3d,Ltf.1,Klhl6,Klhl6.1,Klhl6.2,Retnlg,Flot2.2,Chi3l3.2,Immp2l,Ppox,Ppox.1,Rhag.1,Rhag.2,Camp,Pkig,Pkig.1,Snn,Mgst3,Mgst3.1,Urod,Flot2.3,Cd177,Cd177.1,Xpo7,Xpo7.1,Xpo7.2,Sh2d2a,Dok3,Mrgpra2.1,Aqp9,Pkig.2
8942406001_A,0,-5.0,1e-05,8.12,38.1,100.0,One,3.3,1,Survivor,-0.097622395,-0.032001495,-0.17073202,-0.081749916,-0.1844058,0.37758064,0.44549036,1.2178683,1.6295762,1.307045,0.03917694,0.02408123,0.32922268,0.058718204,-0.44742823,1.0011377,0.031189442,-0.24175215,0.32435894,-0.026205063,-0.11745453,-0.35587215,0.43212986,0.09953928,0.08323336,-0.2829504,0.2401905,0.20120478,0.19875193,0.36648226,-0.6263628,-0.013567448,-0.2441926,0.14121866,-0.17071962,0.9822905,0.7455697,0.7429819,1.5485854,0.121614456,0.08616018,-0.16269064,-0.52017355,-0.19831324,-0.5166459,0.382586,0.4194379,-0.000286,-0.46620893,0.2842369,0.08603811,0.070593834,0.63464975,-0.05591917,0.56197596,0.68957806,0.31194544,-0.012076378,-0.18178368,0.16705894,0.060145378,-0.01855135,0.06802893,0.014151096,-0.50853014,-0.4470706,-0.08458948,-0.053751945,0.01500082,-0.007795334,0.08642721,-0.03968525,0.3896284,0.43577003,-0.11798525,-0.1508069,1.3945508,1.2355118,0.6057997,-0.15757465,0.68993044,0.09954214,0.44198608,0.4298029,1.2728248,0.231318,-0.022629738,-0.031814575,-0.09308863,-0.21255493,-0.31393623,-0.22978258,0.38095474,-0.255265,1.4572868,-0.40798473,-0.36662436,-0.283391,-0.022197962,-0.055999756,0.111028194,-0.018201351,-0.101436615,-0.091249466,0.2085247,0.71866417,-0.0800271,0.043758392,-0.12688208
8942406001_B,1,-3.787812396,0.000163,8.12,38.3,96.08269859,One,3.3,1,Survivor,0.049849987,0.20644379,0.057540417,0.21085167,0.15869856,0.3547125,0.28257608,1.1134048,1.2092195,1.1411839,-0.07583523,0.20542526,0.31752968,-0.11809111,-0.18969107,0.95467854,-0.17271662,-0.05981493,0.5117712,0.3301506,-0.00910759,0.21985245,0.47499084,-0.065565586,0.17332315,0.1000433,0.12704468,-0.07279444,0.028728962,0.011523724,-0.40767097,-0.02265215,0.23659849,0.44458723,-0.52154684,0.65816236,0.5369439,0.33095455,1.3434949,0.23787594,0.047783375,-0.0788064,0.11694765,0.3326373,-0.36000204,0.24805498,0.37867498,0.000286,-0.35261106,-0.026330948,-0.1452508,-0.0840168,0.34513807,0.17807817,0.17553186,0.73589325,0.06469011,0.07670975,0.08118057,0.5095234,-0.050312042,-0.08335924,0.23899889,-0.08599043,-0.22106409,0.13906145,-0.06269884,-0.037978172,0.11427355,0.08274078,-0.098948,0.30195808,0.2368536,0.3172741,-0.15164709,-0.13659334,1.3841395,1.2981472,0.3645382,-0.1399765,0.3869338,0.19666338,0.53638077,0.32622528,1.0525517,-0.001075268,0.13346004,-0.008677483,0.039425373,-0.21933842,-0.25354004,-0.22195959,0.3433876,-0.15858293,1.2848873,-0.03798008,-0.03432226,0.15924835,0.037691355,-0.18095589,-0.036498547,0.10941744,0.37565517,0.015721321,0.18496323,0.7700777,-0.09859896,-0.033120155,-0.19437695
8942406001_C,2,-3.721246399,0.00019,8.04,38.2,94.3960827,One,3.3,1,Survivor,0.37199068,0.22624207,0.30123758,0.4105854,0.45392084,1.4746304,-0.34207964,1.0412288,1.1448808,1.1897421,0.45473576,-3.8056202,0.4401703,0.12005854,-0.29127264,0.63218784,-0.10417509,0.19709635,0.48682976,0.46797466,-0.267457,0.22687149,0.43259144,0.04159975,0.013265133,-0.14104652,0.15142441,-1.5486903,-1.4597812,-0.451921,0.08172226,0.1792531,0.23781252,-0.8695388,0.6622615,0.51624894,0.6329951,0.58148766,1.0333924,0.21776676,0.24616766,-0.24151373,-2.1421046,0.71908903,-0.34623957,0.508553,0.5203147,-0.71136475,-0.3714404,0.44566536,-0.24019575,0.25556755,0.8324599,-0.11555052,1.5080523,0.79086304,0.58507013,-4.3755636,-4.105463,0.77375126,0.03508091,0.14672804,0.5617013,-0.34201622,0.49694586,0.618443,-0.088201046,0.03247547,0.6016488,0.10718918,0.030169964,0.24618912,0.7559166,0.3722191,0.13075209,-0.10158014,1.3650975,-0.0431509,0.717618,-0.04995632,0.74372816,-0.22899675,0.66422844,1.1918516,0.4853711,0.5874419,-0.18879986,0.21739006,-0.19749784,-0.27401257,-0.40519047,-0.43355036,0.56104374,-0.09507632,1.2115622,0.07538414,0.38515997,0.7656183,-0.001198053,-0.22380924,-0.00797224,-0.33672762,0.23467827,-0.019330025,-0.097307205,-0.07479572,0.16164827,0.28692913,0.06329012
8942406001_D,3,-2.954495907,0.001110463,8.51,38.4,94.9945593,One,3.3,1,Survivor,0.08213091,0.18935204,1.4285026,0.3049717,0.25687647,1.5323067,0.13682985,0.4601407,0.6820092,0.56555843,0.3069849,0.33898544,0.26937866,-0.019136906,-0.11288023,0.6130314,-0.023287296,0.010658741,0.20591927,0.5968523,0.008553505,0.41087055,0.45231628,0.016733646,-0.002274036,-0.21071911,-0.07438755,0.580461,0.6221652,0.6128888,-0.24412441,0.048102856,0.40493917,0.36918306,0.1605277,0.571543,0.51270723,0.33547688,0.94533205,0.06855297,0.015099049,0.004505634,0.022367,0.22026396,-0.3678069,0.13948774,0.31991434,0.36161613,-0.40911055,0.24920464,-0.006032467,0.39284992,0.6624255,0.09061766,1.5371995,0.3470621,0.30747175,0.17495155,0.23316765,0.5910759,-0.017902374,0.051006794,0.3397889,-0.13565207,0.19178629,0.27112246,-0.07283449,0.027770042,-0.00198698,-0.080002785,-0.11358595,0.15363312,0.36592674,0.67328644,0.1526618,0.096823215,0.94680166,0.7557173,0.26197624,-0.06501675,0.24025583,0.002220631,0.3330183,0.8532047,0.89126635,0.39161634,0.14097786,-0.034727097,0.10800314,-0.07968044,-0.22323799,-0.33002996,0.074043274,0.08928132,0.8266611,0.12870312,0.058935642,0.1330061,-0.06574273,0.14966774,0.4891467,-0.0341115,0.12556076,0.042126656,0.003407478,0.51349926,0.46139765,0.20083714,-0.11797762
8942406001_E,4,-2.230728232,0.005878571,7.73,37.9,95.7562568,One,3.3,1,Survivor,-0.015872478,-0.00554657,0.5938859,-0.09834194,-0.3533578,1.2633142,0.12018347,0.44019365,0.61540556,0.5221615,0.21554375,-0.28328705,0.02646923,-0.3037467,-0.24478292,0.8103533,-0.11257982,-0.23076487,-0.033929825,0.70440483,-0.10762596,-0.07247162,-0.063238144,-0.004484654,0.05572462,-0.33606052,-0.63432693,0.56749487,0.39649725,0.6301055,-0.49119663,-0.24552584,-0.1108737,0.048401356,0.3118987,0.23874497,0.59376097,0.26615238,0.7684207,-0.020170212,0.049675465,0.012990475,-0.37081861,-0.2726388,-0.34206152,0.18119478,0.69505835,0.23386288,-0.4665494,-0.0826416,-0.15266371,0.35426998,1.0098271,-0.24015284,1.1695533,0.46786404,0.16591692,-0.28075218,-0.28580952,0.2711916,0.011807442,-0.007855892,-0.012131214,-0.019240856,-0.25071192,-0.22315931,-0.10128069,-0.002838135,0.02129507,-0.00561142,-0.075080395,-0.10920334,-0.004270554,0.5344248,-0.34576273,0.009473324,0.6702056,0.28630924,-0.001119614,0.03630638,0.18304682,0.027678013,0.2800064,0.71363926,1.2050452,0.45934534,-0.2027502,-0.118867874,-0.1102519,-0.1583929,-0.25522423,-0.3849864,-0.0911417,-0.059853315,0.61252785,-0.19141483,-0.13224173,-0.27526188,0.059881926,0.0879488,0.268353,-0.25836515,-0.24235249,-0.002280235,0.17573452,0.5182924,0.25547552,-0.13312912,-0.00365305
8942406001_F,5,-1.331389706,0.046624082,6.89,38.3,97.1164309,One,3.3,1,Survivor,0.08734751,0.038262367,-0.30794,0.100564,-0.1862359,0.90901756,-0.15924692,-0.008269787,0.20042086,0.15029049,0.48825932,0.3651867,0.35506248,-0.58001566,0.10476065,0.78114796,0.03689146,-0.06158495,-0.51673317,0.24832821,0.021492958,0.20733547,-0.24217701,0.102057934,0.06145239,-0.005199432,-1.5893583,0.3585124,0.36391306,0.35459185,-0.47974682,-0.004000187,0.21010542,0.0730834,1.4293647,0.13084912,0.4308715,-0.044096947,-0.07552576,0.18784618,0.25931406,-0.23454905,-0.12776232,0.10048342,0.15343714,0.08121729,1.1700149,0.94572353,-0.20051718,-0.031122208,-0.11994314,-0.0693388,0.742929,0.034807682,0.56161547,0.8777828,-0.37136412,0.05307007,0.2618494,0.68358135,0.26745033,-0.08814478,0.38065672,0.06081724,-0.18949556,0.017359257,-0.15540266,0.15401459,0.026052952,0.20129776,-0.13515902,0.053629875,-0.30944252,0.21622181,0.02033186,0.12628126,0.26623583,0.18298721,-0.27316093,0.06920433,0.19090128,0.121264935,0.20330143,0.2383728,1.0490451,1.201056,0.06359291,-0.055728912,0.06135416,-0.024328232,-0.15744877,0.010036945,-0.016626358,-0.15319228,0.16279602,0.033667564,-0.07027578,0.000719,-0.048460245,0.014486313,-0.062060833,-0.13238382,0.02623558,0.18261719,-0.23576641,0.086901665,0.5462327,0.21184349,-0.1322732
8942406001_G,6,-0.716798754,0.191955803,7.13,38.3,95.21218716,One,3.3,1,Survivor,0.048745632,0.17236996,-0.18228102,0.41242313,0.2398963,0.53747654,0.020237446,-0.4444232,-0.42185545,-0.56505585,-0.04022789,0.00871563,0.3231163,0.14391279,0.08551359,0.41451645,0.16184855,0.0190444,-0.535512,0.046334267,0.068333626,0.19818115,-0.15700817,0.04403448,-0.03582239,0.57918453,-0.26471138,-0.37507486,-0.48530245,-0.6354413,-0.20758152,0.025847912,-0.15199518,0.13499689,0.45918798,-0.4343164,-0.012287617,-0.4513998,-0.80688334,0.081516266,0.30010843,0.001691341,0.38498735,0.51621675,0.12515116,-0.10789251,0.5524993,0.4263258,0.46800947,-0.004498482,0.09310675,-0.042918205,-0.21451807,0.07094145,0.28185225,0.15732479,-0.15869379,-0.18684769,-0.001152992,-0.009160996,0.19551086,0.2446456,-0.14007998,0.14583921,0.000912,0.13526678,-0.002740383,0.15010262,-0.015064716,0.19408035,-0.24161768,0.00787735,-0.107601166,-0.30892372,0.038364887,0.07040739,-0.7208533,-0.77563095,-0.277462,-0.06335831,-0.21644449,-0.01757574,-0.15717983,-0.24719524,0.64493895,0.7148309,0.001012802,-0.001909256,0.074216366,0.09946251,0.13331318,0.20092344,-0.24873829,-0.08439326,-0.4833145,-0.043151855,0.022827625,-0.09778881,0.17289615,-0.011828423,-0.21971464,0.8478217,0.8786907,-0.06765938,0.12907028,-0.6381302,0.5032315,-0.109763145,0.0898757
8942406001_H,7,-0.190647288,0.64469264,6.82,38.4,94.50489663,One,3.3,1,Survivor,0.2465415,-0.24955273,0.22219133,-0.92378235,-1.1818786,0.88764,-0.15339613,-0.19141245,-0.2738881,-0.17508602,0.03569603,-1.5102262,-0.9301176,1.5316253,0.32451582,0.8726549,-0.14926195,-0.7651019,-0.7286453,-0.12870026,0.06797123,-0.8528328,0.9467306,-0.13635969,-0.108391285,-0.10371494,1.9673414,0.002737522,-0.008379459,0.021049023,-1.3607006,-1.2362027,-1.7246461,-0.3942771,0.70729685,-0.12201381,0.1292634,0.14290619,-0.7112508,-1.3623362,0.30382013,0.047127247,-1.1248574,-1.4195123,0.29322004,0.74665785,1.6818175,1.2974892,-0.44297934,-1.3645926,-0.25862932,0.06622696,-0.02551794,-1.2081141,0.56584597,0.26170826,0.024494648,-1.1960526,-1.4029999,-1.7534704,1.6696138,0.85421324,-2.1858773,-0.057178974,-1.2168708,-1.0738063,0.11233187,-0.27711487,-0.838532,-0.1645155,-0.10444975,-0.73795223,0.8362999,0.41098595,-1.4690862,0.33342123,-0.5735402000000001,-0.5184126,0.5523052,-0.017349243,-0.050238132,-0.016430378,-0.007318497,0.38275814,1.1119456,1.6583514,-0.89541435,-0.5039873,0.00763464,0.029735565,-0.25859165,0.28728342,-0.60334396,-0.16954112,-0.39285946,-0.8985243,-1.1161485,-1.6035986,-0.004558802,0.023627281,-0.2144885,-0.37114954,-0.23950195,-0.024510384,1.2911978,-0.38612652,0.35678625,-0.86605644,-0.023169994
8942406016_A,8,0.231413384,1.703779484,5.09,35.6,90.20674646,One,3.3,1,Survivor,0.6674237,0.29384613,1.8415475,-2.1048288,-1.8907723,1.0300341,-0.25739813,-0.8056083,-0.75844336,-0.7829313,0.064474106,-2.341957,-2.589198,1.4061666,0.43084383,0.9223871,0.007898808,-0.9046407,-0.96870995,0.38054752,-0.03380108,-1.1288986,0.7962036,0.074594975,0.14611673,-0.38432407,2.780734,0.37727022,0.4508729,0.5857043,-1.8145399,-1.9815221,-2.6224818,-0.42968416,0.50291777,-0.5885303,-0.034339428,0.22971535,-1.3034396,-2.779211,0.551497,0.02584982,-2.1851916,-3.2201915,0.18164015,0.7164159,2.9647136,2.1327505,-0.36853838,-2.966916,-0.1674695,0.24031258,0.20494795,-2.3178878,0.6732459,-0.16899681,0.07547045,-2.8244257,-2.9152431,-2.7862453,1.8316851,0.7940202,-3.9549394,-0.06970835,-1.7235255,-1.5852971,-0.053289413,-0.29557037,-1.4109044,-0.19727325,0.006683826,-1.1173773,0.43422318,0.37226582,-3.1144404,1.8425164,-1.2984195,-1.2381268,0.22825813,0.006387711,0.30364466,0.43010855,0.3930521,1.5636959,1.2209535,2.5579724,-1.852498,-0.43140316,0.043698788,-0.057929993,-0.06847668,0.13897753,-0.9578581,-1.31e-05,-1.0214214,-1.3656101,-1.5526776,-2.0142326,0.030658007,0.095534325,0.2897935,-0.55226755,-0.6814928,0.10435104,1.5344429,-0.30278778,0.36137056,-1.3877258,0.09568739
8942406016_B,9,-0.02903014,0.935340759,2.8,34.3,84.76605005,One,3.3,1,Survivor,1.6751218,1.2558365,4.451596,-0.27870178,0.104632854,3.0599623,-0.13188219,-0.0993886,-0.047962666,-0.10106182,2.2444077,-0.64789486,-1.4786453,1.7670856,3.334993,1.3541975,-0.25078917,0.25247145,0.394269,1.8929119,-0.16267967,-0.39696598,0.9344511,-0.19775915,-0.1927104,0.9165516,3.462246,2.3436675,2.29872,2.5883336,0.1603775,-1.3650079,-1.0575538,-0.30000353,2.4112144,0.48572564,1.3176885,0.6975937,-0.23634386,-1.5050983,1.6609902,-0.123102665,-1.0754905,-1.3419757,2.9311967,1.3854823,5.2047353,4.8816643,0.8229861,-2.915371,0.37593222,1.7440672,2.2392688,-1.1056542,2.1151557,1.2169628,1.2134948,-1.2958841,-1.189106,-1.1775188,2.8279533,1.5824142,-1.9828849,-0.22343397,-0.25911283,-0.16703749,-0.17583418,-0.270339,-0.65328646,-0.22771454,0.29031134,0.09284496,0.55739975,1.5222158,-1.8097177,2.4973311,-0.1130414,-0.3640833,0.5612583,0.17235947,1.4046817,0.62457705,1.4155312,3.3669806,2.1487145,4.9923368,-1.6191149,0.31333256,-0.08164835,0.35561943,0.56284714,2.7802415,0.057888985,-0.093877554,0.04390049,-0.32315254,0.039238453,1.1958284,-0.010446787,0.8970804,2.270536,0.09785223,0.6246605,-0.080677986,1.7376451,1.2371216,1.8308558,-0.8346062,-0.036353588
